Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,,,
LOC128626932,2.26574026,0.037252381,0.373809003,0.661347973,0.775478475,,,,,,
LOC119041959,708.757245,4.955147038,0.596559926,3.73E-18,1.39E-16,,,,,,
LOC119041957,591.4238517,5.738782597,0.62481025,1.79E-21,9.33E-20,,,,,,
LOC119041976,1024.710507,6.036836216,0.676417227,1.23E-20,5.85E-19,,,,,,
LOC119041968,339.5239464,1.961677676,0.351966549,1.39E-09,1.64E-08,,,,,,
LOC119041970,5.072159503,0.287359578,0.47397082,0.102864812,0.195960731,,,,,,
SP140,74.65192724,0.761636345,0.325372528,0.002792644,0.009306966,,,,,,
SP140L,262.8631068,1.095809897,0.229801895,1.81E-07,1.52E-06,,,,,,
SP110,667.8758596,0.595947429,0.233247251,0.002553383,0.008604277,,,,,,
SLC16A14,10.80002327,0.235045147,0.370395867,0.231157765,0.367378465,,,,,,
FBXO36,18.08688174,-0.088600978,0.255639036,0.617943762,0.74028183,,,,,,
LOC128627282,2.865580606,-0.127655413,0.37416685,0.336162348,0.485596724,,,,,,
TRIP12,10811.3208,-0.162547638,0.064155527,0.010861613,0.030149226,,,,,,
DNER,290.8509779,1.400604666,0.205289233,8.30E-13,1.60E-11,,,,,,
PID1,38.15098996,1.326446402,0.312255809,1.93E-06,1.33E-05,,,,,,
SPHKAP,8.807430299,0.148847745,0.362661721,0.361167161,0.512555506,,,,,,
DAW1,8.926779882,-0.398977954,0.512084661,0.079077745,0.158362746,,,,,,
CCL20,0.737809741,0.069851707,0.379944549,0.292147932,NA,,,,,,
LOC128627384,1.023863809,0.080428554,0.375597443,0.395911488,0.546014001,,,,,,
SLC19A3,82.24388067,0.196115882,0.193467144,0.243356628,0.382034453,,,,,,
AGFG1,2349.368074,0.130682223,0.068625309,0.063417193,0.132526482,,,,,,
TM4SF20,5.30078817,-0.008860331,0.326350537,0.961865639,0.981662401,,,,,,
MFF,1273.04452,0.260392355,0.072660182,0.000252539,0.001111593,,,,,,
LOC119044744,25.76317766,0.242898776,0.285187092,0.232697448,0.369232028,,,,,,
COL4A3,291.5703328,0.01916025,0.220669968,0.847288691,0.905519925,,,,,,
COL4A4,17.19054526,0.581455846,0.36676681,0.022554195,0.056093507,,,,,,
RHBDD1,388.1470493,1.222864013,0.104366786,1.25E-32,1.78E-30,,,,,,
LOC119044740,8.167652199,1.039443071,0.527647563,0.003906843,0.012461866,,,,,,
LOC119044738,23.86700499,0.531283033,0.301634871,0.02023718,0.051333483,,,,,,
IRS1,9830.384219,0.242450336,0.07354795,0.000912527,0.003472063,,,,,,
LOC119044736,1.015084173,0.021852836,0.37030621,0.680499299,0.790407548,,,,,,
NYAP2,9.023868286,-0.237520943,0.376946088,0.21887197,0.352612409,,,,,,
DOCK10,0.210232555,-0.006069841,0.373840051,0.896233305,NA,,,,,,
LOC128627588,33.65861728,0.233608386,0.243613325,0.218888191,0.352612409,,,,,,
CUL3,2582.824187,0.099710095,0.058124892,0.076186754,0.153734441,,,,,,
SERPINE2,256.6960379,-0.950988474,0.146006608,1.18E-11,1.94E-10,,,,,,
MRPL44,282.3260816,0.206462983,0.103297292,0.037186106,0.085407629,,,,,,
WDFY1,2576.575341,0.416690257,0.064332412,4.42E-11,6.60E-10,,,,,,
AP1S3,649.0633881,0.128616311,0.087052543,0.128042885,0.232666835,,,,,,
SCG2,0.675524702,-0.068317017,0.379003841,0.225944764,NA,,,,,,
LOC119061933,1194.066646,-0.077629137,0.179280593,0.627222927,0.747297286,,,,,,
KCNE4,0.166168454,-0.001425936,0.373804801,0.998314675,NA,,,,,,
ACSL3,1303.19525,0.703915085,0.073128293,1.41E-22,8.31E-21,,,,,,
LOC119050975,2.224123953,0.075671884,0.359687679,0.548317395,0.683778948,,,,,,
MOGAT1,44.11346685,0.335160985,0.233597534,0.078241298,0.15694943,,,,,,
FARSB,1740.508246,0.749640277,0.085972679,5.73E-19,2.34E-17,,,,,,
SGPP2,3.005086227,0.056682469,0.367287147,0.552559171,0.68691907,,,,,,
LOC128626908,0.53302847,-0.036383575,0.375459919,0.418121003,NA,,,,,,
EPHA4,7301.211746,-0.047364677,0.064494756,0.455305178,0.603126876,,,,,,
SLC4A3,139.5711888,0.926373249,0.156498291,4.42E-10,5.66E-09,,,,,,
STK11IP,193.5352837,-0.345822599,0.125535978,0.003341039,0.010882167,,,,,,
OBSL1,9.357379966,1.491892986,0.669086508,0.001654083,0.005890918,,,,,,
TMEM198,9.864545611,0.399966204,0.392446487,0.091948748,0.179186002,,,,,,
CHPF,1070.77011,-0.171547022,0.123391268,0.139526798,0.249117948,,,,,,
ASIC4,0.661089177,-0.020550148,0.370795316,0.707501941,NA,,,,,,
GMPPA,350.2003243,0.907959625,0.105318925,1.03E-18,4.08E-17,,,,,,
SPEGNB,1.530165587,0.19155835,0.42348462,0.121956808,0.223662877,,,,,,
SPEG,625.9998236,-0.026165589,0.207045509,0.879365405,0.925850712,,,,,,
DES,2.004766963,0.056093016,0.360486107,0.643598808,0.760367587,,,,,,
DNPEP,226.2499374,0.499218523,0.148251066,0.000277526,0.001207354,,,,,,
PTPRN,402.6971806,0.585851191,0.157971778,5.92E-05,0.000301092,,,,,,
DNAJB2,547.6343661,0.459826512,0.090408324,1.96E-07,1.63E-06,,,,,,
LOC119056902,9.751976785,-0.412354282,0.477942072,0.081719753,0.162723176,,,,,,
LOC119056884,705.3392922,-0.640290067,0.096991615,1.07E-11,1.77E-10,,,,,,
STK16,622.41302,0.386619162,0.067558432,5.87E-09,6.33E-08,,,,,,
GLB1L,351.2864426,-0.248342241,0.095445293,0.007007659,0.020655575,,,,,,
ANKZF1,732.2008955,0.544069884,0.101785589,2.79E-08,2.69E-07,,,,,,
ATG9A,1414.838267,0.205594753,0.065487742,0.001400268,0.005078425,,,,,,
ABCB6,710.9480691,0.320350896,0.079380599,3.28E-05,0.000176675,,,,,,
ZFAND2B,466.661149,0.437971594,0.099770879,4.83E-06,3.09E-05,,,,,,
RETREG2,1484.846169,0.294685042,0.071263033,2.46E-05,0.000136211,,,,,,
CNPPD1,673.0486218,-0.029384141,0.077409006,0.710859139,0.811889964,,,,,,
SLC23A3,20.3129847,0.116125709,0.270215986,0.546546825,0.682473045,,,,,,
NHEJ1,42.17357234,0.468727186,0.253797838,0.021414396,0.053783953,,,,,,
CFAP65,8.120385492,0.154955227,0.319946737,0.421808811,0.570718457,,,,,,
CDK5R2,0.328738094,-0.016304082,0.373771407,0.818487712,NA,,,,,,
WNT6,3.846290924,-0.123990362,0.376643017,0.321192621,0.469826659,,,,,,
LOC119056899,8.663199935,0.628071286,0.859386457,0.032789441,0.076788869,,,,,,
LOC119056909,0.358167451,-0.005426825,0.373565438,0.996350049,NA,,,,,,
TTLL4,494.8628099,-0.090702517,0.095313109,0.301280114,0.448385898,,,,,,
STK36,645.3484965,0.369182072,0.078689547,1.83E-06,1.27E-05,,,,,,
RNF25,646.5286077,0.015910127,0.080167976,0.820977947,0.888243502,,,,,,
LOC119039496,377.8543593,-0.206192389,0.109219197,0.046870072,0.103321735,,,,,,
ZNF142,573.6445925,0.030609878,0.087340491,0.718862431,0.817430661,,,,,,
PLCD4,90.16222626,-0.718296789,0.165712889,2.99E-06,2.00E-05,,,,,,
LOC128628050,1.206795209,0.074173995,0.37139486,0.441813675,0.59023189,,,,,,
CNOT9,689.1748363,-0.171120881,0.073076618,0.016545725,0.043228728,,,,,,
LOC119039547,8.231184454,-0.177078998,0.354161262,0.333742506,0.483014337,,,,,,
USP37,1011.774194,0.478448568,0.110798697,5.57E-06,3.51E-05,,,,,,
VIL1,0.602768109,-0.00046214,0.370124126,0.993678614,NA,,,,,,
CTDSP1,567.86452,0.1430382,0.092372671,0.09380294,0.182081688,,,,,,
SLC11A1,1.112509803,-0.137039736,0.403588018,0.082631935,0.164150653,,,,,,
CATIP,5.331198418,0.233011607,0.384355368,0.223663048,0.358654568,,,,,,
LOC119039533,285.4101578,0.232598628,0.124222093,0.048116807,0.10563452,,,,,,
TMBIM1,6179.108853,-0.374388961,0.075795971,5.69E-07,4.34E-06,,,,,,
LOC119039537,380.0358199,0.159431714,0.079351036,0.039325952,0.089454567,,,,,,
AAMP,2680.066925,-0.350328506,0.065407524,5.06E-08,4.66E-07,,,,,,
GPBAR1,7.052779994,-0.317764871,0.446093209,0.118990558,0.219203428,,,,,,
ARPC2,13438.25286,-0.245044826,0.079154344,0.001495684,0.005393061,,,,,,
CXCR1,49.34779004,-1.07589178,0.48908692,0.002002023,0.006976369,,,,,,
LOC119039525,0.242154658,5.52E-06,0.372672616,0.865196835,NA,,,,,,
LOC119039529,484.1336578,-0.937894234,0.400562491,0.001817392,0.006397979,,,,,,
RUFY4,439.231543,-0.152856762,0.277182386,0.429095791,0.57774131,,,,,,
TNS1,5969.999579,-0.781952401,0.146698663,1.15E-08,1.17E-07,,,,,,
LOC119039493,2.612405257,-0.321719805,0.541222944,0.053764581,0.115899283,,,,,,
LOC119039542,0.376778169,-0.008269069,0.373405279,0.994502338,NA,,,,,,
IGFBP5,61577.06747,-0.826917092,0.207871691,1.05E-05,6.23E-05,,,,,,
IGFBP2,5.577226613,0.128863514,0.357197167,0.416326376,0.565622435,,,,,,
RPL37A,6065.74956,-0.019988871,0.067833099,0.763733707,0.850617081,,,,,,
SMARCAL1,621.5574521,0.212059024,0.073099323,0.003455123,0.011208148,,,,,,
XRCC5,994.743713,-0.111073472,0.069087337,0.101514619,0.19389396,,,,,,
TMEM169,71.43576961,0.016523412,0.195433927,0.908556683,0.94813329,,,,,,
PECR,163.5646821,0.40986878,0.169251579,0.006899347,0.020386363,,,,,,
MREG,32.94665315,0.752959123,0.293723402,0.001684075,0.005988852,,,,,,
LOC128627015,0.287776763,0.019931969,0.373808708,0.778167441,NA,,,,,,
FN1,6603.503132,0.045672567,0.239432047,0.808763994,0.879589937,,,,,,
ATIC,1246.898404,-0.136832293,0.088687145,0.099603089,0.191089697,,,,,,
LOC128628364,5.507252594,-0.198503777,0.366860202,0.277514393,0.421448817,,,,,,
ABCA12,243.2315369,0.075799824,0.104749089,0.459751696,0.606914275,,,,,,
BARD1,238.3840068,-0.541991638,0.18454379,0.000962266,0.003636621,,,,,,
SPAG16,29.02198459,0.108435295,0.257344933,0.5713316,0.703183789,,,,,,
IKZF2,779.333953,-0.161831245,0.121148325,0.166009324,0.284844006,,,,,,
ERBB4,5814.691859,0.197657708,0.120048211,0.075704152,0.152900012,,,,,,
LOC128628494,3.383280812,0.038876261,0.355193153,0.745297749,0.837229404,,,,,,
CPS1,1.820035168,0.037001766,0.359895714,0.726874631,0.823422235,,,,,,
LOC128628506,0.893981514,0.009627405,0.364545855,0.934159463,NA,,,,,,
LANCL1,1539.670021,-0.358496732,0.056503011,9.89E-11,1.39E-09,,,,,,
MYL1,1.051749176,-0.122418977,0.396495058,0.116035549,0.215222065,,,,,,
ACADL,353.6716529,-0.421875203,0.133514999,0.000705519,0.002770327,,,,,,
KANSL1L,1168.867504,0.263345857,0.115779855,0.015903086,0.041796572,,,,,,
RPE,1099.977012,0.200864551,0.0900924,0.021354879,0.053658524,,,,,,
UNC80,1.200057005,-0.108527238,0.390756041,0.158389053,0.274741511,,,,,,
MAP2,65.81755216,0.041483141,0.217090239,0.810978816,0.881225204,,,,,,
LOC119064373,2.434076618,-4.264846983,2.474409946,0.000617183,0.002458924,,,,,,
LOC119064309,0.386179778,-0.020411144,0.374158707,0.645808198,NA,,,,,,
PTH2R,6.433421291,-0.739264196,0.726108809,0.021738239,0.054426541,,,,,,
PIKFYVE,987.3388262,0.230915136,0.095070317,0.011136272,0.03083016,,,,,,
IDH1,2626.936896,-0.534312173,0.15483648,0.000178088,0.000816826,,,,,,
CUNH2orf80,0.630565568,0.059697677,0.375270596,0.380188516,NA,,,,,,
PLEKHM3,285.5660271,0.390757805,0.152241736,0.005053244,0.015587657,,,,,,
LOC119064340,5.675903067,0.076991982,0.325270014,0.652291591,0.76753772,,,,,,
FZD5,493.5789865,-0.080778598,0.163527103,0.581994969,0.712034426,,,,,,
CCNYL1,3680.062785,0.29713222,0.098126747,0.001650012,0.005882131,,,,,,
LOC119064400,131.8006928,0.066971615,0.167794493,0.656057255,0.77083403,,,,,,
LOC119064372,816.1483483,0.078415184,0.149087614,0.562922679,0.695737831,,,,,,
LOC128626294,2.151502752,0.16719042,0.392675155,0.235858162,0.373014931,,,,,,
METTL21A,713.4382718,0.074477462,0.076106464,0.308601704,0.456467086,,,,,,
CREB1,932.8734622,-0.103363982,0.082599864,0.194057191,0.322297551,,,,,,
KLF7,1208.662623,-0.467651722,0.098667658,9.06E-07,6.67E-06,,,,,,
LOC119064387,0.187008491,0.016744824,0.37380033,0.810113597,NA,,,,,,
FASTKD2,593.560885,0.153990116,0.070637498,0.026968747,0.065295208,,,,,,
MDH1B,18.38406556,0.518195156,0.397193679,0.040369629,0.091420377,,,,,,
ADAM23,30.8119391,-1.401728197,0.378159263,1.77E-05,0.000100787,,,,,,
ZDBF2,666.5735797,-0.334587935,0.220437161,0.066052177,0.137027903,,,,,,
CMKLR2,247.2234879,-0.151554238,0.242026615,0.417307091,0.566451244,,,,,,
EEF1B2,6879.067819,0.222874653,0.088141247,0.008732488,0.024930898,,,,,,
LOC119064398,13.87872396,-0.134425943,0.277627418,0.499463742,0.641237239,,,,,,
LOC119064397,10.85736221,0.078049135,0.292355182,0.680792005,0.790407548,,,,,,
NDUFS1,2260.992933,-0.240222909,0.047377337,2.43E-07,1.99E-06,,,,,,
LOC119064381,20.26676238,-0.192697782,0.289114046,0.31925347,0.468294138,,,,,,
LOC119064321,63.1209386,0.404609395,0.191650696,0.015610531,0.041124123,,,,,,
INO80D,2111.062148,1.294962593,0.141956697,6.99E-21,3.39E-19,,,,,,
LOC128627026,0.22508616,0.020460035,0.373877545,0.78692293,NA,,,,,,
NRP2,1556.95319,0.347713982,0.179960175,0.028510661,0.068319917,,,,,,
PARD3B,857.8600167,0.793358675,0.123031925,2.04E-11,3.21E-10,,,,,,
LOC128626133,0.38707116,0.000132276,0.37111489,0.843203458,NA,,,,,,
CD28,0.164263326,0.018732543,0.373949457,0.816332441,NA,,,,,,
RAPH1,1934.569618,0.281802111,0.115835694,0.010300895,0.028806863,,,,,,
ABI2,1417.250983,-0.059388026,0.069979417,0.378072831,0.529199028,,,,,,
LOC119064359,754.3626423,0.289614625,0.085180441,0.000484036,0.001985921,,,,,,
NBEAL1,2662.117159,0.479725161,0.159627006,0.001052766,0.003935289,,,,,,
CARF,381.1476795,0.447249526,0.126822549,0.000181859,0.000830944,,,,,,
WDR12,1046.991116,0.260771169,0.081614903,0.001017652,0.003822733,,,,,,
ICA1L,21.47705634,1.164000399,0.425813542,0.000518942,0.00211323,,,,,,
ADCY1,0.353104425,-0.001181445,0.371698351,0.848378538,NA,,,,,,
IGFBP1,5.629765146,-3.782196742,2.476028051,0.0013666,0.004969184,,,,,,
IGFBP3,27.91345358,0.083326138,0.319308828,0.628918633,0.74862783,,,,,,
TNS3,1959.248511,-0.086240011,0.127562405,0.470706853,0.616821188,,,,,,
PKD1L1,9.329999696,-0.388176986,0.432766819,0.094470378,0.18303908,,,,,,
HUS1,199.0178242,0.231709328,0.142457949,0.077477607,0.155720013,,,,,,
SUN3,0.270041872,-0.003201824,0.373664079,0.996756198,NA,,,,,,
CUNH7orf57,22.74221817,0.439198578,0.325691867,0.054804836,0.117787888,,,,,,
UPP1,119.7754085,1.545765764,0.439946677,2.70E-05,0.000148188,,,,,,
ABCA13,1.831168853,0.099129974,0.381954054,0.248575547,0.388161165,,,,,,
VWC2,7.228000032,-0.089955236,0.32699171,0.599483226,0.726659434,,,,,,
ZPBP,73.8461007,-0.511235927,0.190254868,0.002323243,0.007923255,,,,,,
SPATA48,42.78759342,-0.366353673,0.229156839,0.05100774,0.110841063,,,,,,
LOC119057327,0.528956068,0.061917337,0.378469352,0.361652895,NA,,,,,,
