Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,0.003915319,0.128809631,0.738708621,NA
LOC119041959,708.757245,0.098065941,0.187766431,0.004634856,0.039274627
LOC119041957,591.4238517,2.578316702,0.657399786,3.53E-06,0.000108895
LOC119041976,1024.710507,0.103792851,0.199809189,0.000453563,0.006491903
LOC119041968,339.5239464,0.668802336,0.491835538,0.003851217,0.034250048
LOC119041970,5.072159503,0.006379388,0.127932611,0.685599871,NA
SP140,74.65192724,0.087440113,0.157761282,0.097457115,0.314826486
SP140L,262.8631068,0.12186872,0.170583918,0.091438182,0.302886008
SP110,667.8758596,0.068052433,0.131233971,0.30923104,0.596524498
SLC16A14,10.80002327,0.025483173,0.128607574,0.388542384,NA
FBXO36,18.08688174,0.048718305,0.133911333,0.249464688,NA
LOC128627282,2.865580606,0.012696845,0.128500974,0.474511811,NA
TRIP12,10811.3208,-0.039208932,0.058769174,0.40377467,0.682483548
DNER,290.8509779,0.044623384,0.115890239,0.478909605,0.740576475
PID1,38.15098996,0.033380251,0.124288045,0.496164635,0.75241915
SPHKAP,8.807430299,-0.000550415,0.127042392,0.961279915,NA
DAW1,8.926779882,0.040419866,0.134754004,0.168599221,NA
CCL20,0.737809741,0.003862956,0.12882159,0.770274553,NA
LOC128627384,1.023863809,-0.009221722,0.129145774,0.292079065,NA
SLC19A3,82.24388067,-0.001526892,0.112708071,0.977625854,0.992207947
AGFG1,2349.368074,0.066357653,0.063853869,0.244286945,0.530189145
TM4SF20,5.30078817,0.00060776,0.126514919,0.990214107,NA
MFF,1273.04452,0.084531316,0.0686901,0.128132853,0.371773607
LOC119044744,25.76317766,0.040637519,0.128962064,0.348211772,0.632224477
COL4A3,291.5703328,0.016811429,0.117749059,0.740973171,0.89757132
COL4A4,17.19054526,0.043310556,0.133260063,0.244511238,NA
RHBDD1,388.1470493,0.500064838,0.117591601,1.56E-06,5.51E-05
LOC119044740,8.167652199,0.067731589,0.152386704,0.031171793,NA
LOC119044738,23.86700499,0.012172566,0.120235156,0.793047553,0.922954503
IRS1,9830.384219,0.044460967,0.065742147,0.436826478,0.709120172
LOC119044736,1.015084173,0.001957977,0.128548595,0.907420998,NA
NYAP2,9.023868286,-0.029133047,0.129115835,0.348721742,NA
DOCK10,0.210232555,-0.000387677,0.128828419,0.974090855,NA
LOC128627588,33.65861728,-0.017802936,0.11973025,0.707139196,0.878501377
CUL3,2582.824187,0.037559028,0.054308886,0.398666595,0.677711955
SERPINE2,256.6960379,-0.303981872,0.153483936,0.004526801,0.038622742
MRPL44,282.3260816,-0.001757056,0.081254135,0.937846405,0.979473852
WDFY1,2576.575341,0.161707755,0.064916303,0.004397529,0.037995727
AP1S3,649.0633881,0.036593364,0.073507682,0.544212206,0.783510754
SCG2,0.675524702,0.01061547,0.12934431,0.152005634,NA
LOC119061933,1194.066646,-0.061420335,0.121750293,0.332917435,0.618725742
KCNE4,0.166168454,-0.000164991,0.128831076,0.978982934,NA
ACSL3,1303.19525,0.425961358,0.073721086,7.27E-10,4.90E-08
LOC119050975,2.224123953,-0.006387713,0.128334935,0.646884243,NA
MOGAT1,44.11346685,0.025437189,0.117618344,0.634586674,0.843783962
FARSB,1740.508246,0.059104247,0.074615163,0.329840305,0.615587964
SGPP2,3.005086227,-0.006145643,0.128578758,0.570408571,NA
