Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,-0.002968311,0.21486961,0.985916221,NA
LOC119041959,708.757245,0.220919948,0.373906893,0.023640267,0.09135082
LOC119041957,591.4238517,2.436302944,0.665922285,9.95E-06,0.00015525
LOC119041976,1024.710507,2.315645193,0.698676839,2.63E-05,0.00036153
LOC119041968,339.5239464,1.139157975,0.391871372,0.000150152,0.001595486
LOC119041970,5.072159503,-0.028679092,0.214032517,0.471485789,NA
SP140,74.65192724,0.132991117,0.215926623,0.228517041,0.442961916
SP140L,262.8631068,0.262443186,0.223228863,0.062940628,0.185101128
SP110,667.8758596,0.139384763,0.183532344,0.241709844,0.459090597
SLC16A14,10.80002327,-0.010896854,0.201073968,0.905587734,0.954514651
FBXO36,18.08688174,-0.00380893,0.189976018,0.965542209,0.983585205
LOC128627282,2.865580606,-0.00641106,0.210390869,0.884906568,NA
TRIP12,10811.3208,-0.024463295,0.062257824,0.65491219,0.811951086
DNER,290.8509779,0.036935092,0.149882254,0.705733276,0.846427805
PID1,38.15098996,0.041269074,0.181542948,0.676323531,0.82690824
SPHKAP,8.807430299,-0.037119444,0.211759381,0.49897373,0.700639325
DAW1,8.926779882,-0.025052959,0.20542678,0.701212353,0.843779547
CCL20,0.737809741,0.020929722,0.21581051,0.382210053,NA
LOC128627384,1.023863809,-0.024029525,0.216143099,0.342189061,NA
SLC19A3,82.24388067,-0.146493749,0.188333152,0.219434491,0.431587508
AGFG1,2349.368074,0.17830815,0.06881565,0.005843384,0.031456552
TM4SF20,5.30078817,-0.027727967,0.2078779,0.644817391,NA
MFF,1273.04452,0.056880977,0.071399451,0.339649908,0.563627115
LOC119044744,25.76317766,0.004446516,0.185088649,0.977315778,0.988907357
COL4A3,291.5703328,-0.028201879,0.170629296,0.757841533,0.875208549
COL4A4,17.19054526,0.253183182,0.357114407,0.048357738,0.153168721
RHBDD1,388.1470493,1.138299938,0.11209728,2.84E-25,4.17E-23
LOC119044740,8.167652199,1.281605981,0.739374552,0.003490754,0.021188759
LOC119044738,23.86700499,-0.093090113,0.200078561,0.364291393,0.58553298
IRS1,9830.384219,0.25866221,0.074111573,0.000320538,0.00299449
LOC119044736,1.015084173,-0.008771515,0.214039553,0.642579511,NA
NYAP2,9.023868286,-0.100246977,0.226039807,0.230766404,0.44556173
DOCK10,0.210232555,-0.001051042,0.214943457,0.995945543,NA
LOC128627588,33.65861728,-0.022437053,0.176490374,0.817116365,0.909793955
CUL3,2582.824187,0.185094036,0.058516048,0.000891145,0.006962774
SERPINE2,256.6960379,-0.360022702,0.145337641,0.002839014,0.017920802
MRPL44,282.3260816,-0.10658521,0.098945491,0.226647426,0.440380939
WDFY1,2576.575341,0.377824686,0.065714688,2.18E-09,7.38E-08
AP1S3,649.0633881,0.163620697,0.084545755,0.034644828,0.120475824
SCG2,0.675524702,0.019028291,0.215615416,0.40521948,NA
LOC119061933,1194.066646,0.067534346,0.152343726,0.530206189,0.723484574
KCNE4,0.166168454,0.008375249,0.215090163,0.745808564,NA
ACSL3,1303.19525,0.271349361,0.072946356,7.48E-05,0.000886487
LOC119050975,2.224123953,0.027706909,0.213405266,0.501071202,NA
MOGAT1,44.11346685,-0.05487909,0.171318951,0.598348037,0.77630134
FARSB,1740.508246,0.540845597,0.08650369,7.18E-11,3.17E-09
SGPP2,3.005086227,0.006046132,0.212374167,0.881385056,NA
LOC128626908,0.53302847,0.012647549,0.215184573,0.600699405,NA
EPHA4,7301.211746,0.046612168,0.063051572,0.445737706,0.658904528
SLC4A3,139.5711888,0.118339405,0.138565293,0.274292065,0.496354368
STK11IP,193.5352837,0.016632923,0.111330412,0.865347341,0.936357287
OBSL1,9.357379966,0.09607436,0.231470456,0.179826109,0.380116756
TMEM198,9.864545611,0.034799622,0.202475289,0.649171223,0.808579896
CHPF,1070.77011,-0.042564805,0.111735968,0.648527869,0.808332977
