"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC119041959",12.1558684027246,0.000555204184836142,0.0218791600879759,0.421726767866451,0.999538593213109
"LOC119041957",6.23460361222246,0.000870847557385311,0.0218969349200443,0.178615181603119,0.997303914460136
"LOC119041976",9.69487806626205,0.000965400346158456,0.0219002549963046,0.123461399514817,0.997303914460136
"LOC119041968",53.7429992710257,0.00410764565964969,0.0223649421561301,0.0419192270068316,0.911187438157107
"LOC119041970",1.03383485192866,-0.000330612506695982,0.0218827711376764,0.220927229054501,NA
"SP140",30.5462251425664,0.00107264277391402,0.0218638075057089,0.500385970695077,0.999538593213109
"SP140L",117.896926772062,0.00577856078305826,0.0228552793897084,0.0333536553004465,0.881455247823292
"SP110",271.661392215442,0.00998514065959677,0.0248837199891338,0.025594813747833,0.851115210587186
"SLC16A14",10.0583857277133,-0.000191071246113571,0.0218675490084702,0.808303255104118,0.999538593213109
"FBXO36",20.8874392868831,-0.00182678709634913,0.0219567043146849,0.152855549140694,0.997303914460136
"LOC128627282",2.99426007853186,-4.82171319238238e-05,0.021875074639384,0.962813177290817,NA
"TRIP12",10462.6024887742,-0.00389280451747912,0.0213104113019605,0.432657614482112,0.999538593213109
"DNER",230.299700087465,0.00258627146914373,0.021955072140446,0.312617247606054,0.999538593213109
"PID1",23.727419776141,0.00017643293153007,0.0218474731507747,0.853782285167367,0.999538593213109
"SPHKAP",7.43982385730978,-0.000281779662132551,0.0218743096046611,0.653373365377249,0.999538593213109
"DAW1",11.0613315796117,0.000678596847480513,0.0218800248608376,0.480949866526953,0.999538593213109
"LOC128627384",1.29510877728005,0.000356781443072936,0.0218825382696915,0.289684213427714,NA
"SLC19A3",73.7529262244676,-0.000542054288951039,0.0218388809243474,0.666802952376718,0.999538593213109
"AGFG1",2134.33819784185,0.00973190260334584,0.0232866924946047,0.179811449140926,0.997303914460136
"TM4SF20",5.69103359715716,0.00012756755435664,0.0218710716956605,0.850976518328709,0.999538593213109
"MFF",1191.44953276898,0.0083871357797447,0.023074192601427,0.198852619522306,0.997303914460136
"LOC119044744",26.1315614990617,0.000866955851581468,0.0218574688743462,0.551557011449359,0.999538593213109
"COL4A3",269.347257408796,-0.000623788686896306,0.0217580097789778,0.754908879442797,0.999538593213109
"COL4A4",12.1690290846294,3.27067698575263e-06,0.0218567630162335,0.895070410424614,0.999538593213109
"RHBDD1",240.767378605224,-0.000557971008355388,0.0215550198610976,0.870907590902353,0.999538593213109
"LOC119044740",5.54607086045712,-1.78398979743093e-05,0.0218686124633509,0.977151096627517,0.999538593213109
"LOC119044738",23.2723680038817,-0.00073244953774928,0.021855304016911,0.611523575503595,0.999538593213109
"IRS1",8818.78169517445,-0.002759307300519,0.0216137173357915,0.548868141430905,0.999538593213109
"LOC119044736",1.43390534939426,0.000275394195515744,0.0218815518461011,0.264178257142645,NA
"NYAP2",9.87736801030433,-0.000350908278462679,0.0218686523534445,0.660898411495054,0.999538593213109
"LOC128627588",33.5253126532371,0.000208553499489164,0.0218171292773133,0.901527853141533,0.999538593213109
"CUL3",2410.76559044959,0.00160840510911213,0.0207875154642738,0.840600388379296,0.999538593213109
"SERPINE2",328.008791011418,0.00106300142917732,0.0217706081488156,0.660402219282073,0.999538593213109
"MRPL44",264.90562009645,0.00564040089788422,0.0225333230911235,0.198947327789506,0.997303914460136
"WDFY1",2099.23467194614,0.0178508543111634,0.0291639619810109,0.102668318058919,0.988207973988212
"AP1S3",552.628594196182,0.00879547863937657,0.0240281574788563,0.0570464209153936,0.937078668312667
"SCG2",0.98519710759503,-0.000370778293810745,0.0218837479967382,0.165045438143205,NA
"LOC119061933",1147.8763821033,0.00273777150329403,0.0219469766503701,0.37525915712712,0.999538593213109
"ACSL3",1021.44897512598,-0.00102371956822833,0.021302799108045,0.816494932074972,0.999538593213109
"LOC119050975",1.9133635104281,-0.000354046399413785,0.0218823477448951,0.286734454776925,NA
"MOGAT1",41.5099717528327,-0.00138903169457576,0.0218735309442984,0.47248033389959,0.999538593213109
"FARSB",1401.24168537964,0.00362461856465658,0.0216587201827359,0.615827913432342,0.999538593213109
"EPHA4",6948.00159114644,-0.00274518300655435,0.0214272703464855,0.603773140859761,0.999538593213109
"SLC4A3",110.764048345839,-0.000522023329631505,0.0217444127646064,0.843313568045111,0.999538593213109
"STK11IP",190.065506910634,0.00105986872883707,0.0216343245912544,0.758360109814325,0.999538593213109
"OBSL1",4.28528530604552,-0.000268165643723085,0.0218760492207962,0.628914932854472,0.999538593213109
"TMEM198",6.61898875192227,-0.000518205030257047,0.0218789110940507,0.450199455761484,0.999538593213109
"CHPF",992.65190268837,-0.000323607389894283,0.0215258466834468,0.90514068825697,0.999538593213109
"GMPPA",247.846108397397,0.0019949661793273,0.0216186647079848,0.655731273951995,0.999538593213109
"SPEGNB",0.846403290858929,6.81874919246588e-05,0.0218795532566249,0.770368162665323,NA
"SPEG",675.598068220769,0.000210100119777101,0.0218103105007735,0.906745273994506,0.999538593213109
"DES",1.56335146231099,-0.000113400284439617,0.0218782928691913,0.740109928723992,NA
"DNPEP",183.219613825033,0.00399157061510828,0.022178379433178,0.226606642580954,0.999538593213109
"PTPRN",312.839668099656,-0.000804640989105213,0.0217903776387348,0.72387688798123,0.999538593213109
"DNAJB2",491.448617710492,0.00194534806791544,0.0215742638916165,0.651753546590494,0.999538593213109
"LOC119056902",10.420328856133,-0.00116374374492754,0.0219082844757317,0.192964484975839,0.997303914460136
"LOC119056884",743.343305434144,-0.00156318962254981,0.0217120609656583,0.624642368381074,0.999538593213109
"STK16",566.9819287807,0.00354867662752721,0.0215065721384641,0.525724108927976,0.999538593213109
"GLB1L",347.425979930871,-0.00980373805851334,0.0247193630572914,0.0332092098041485,0.881455247823292
"ANKZF1",616.977588505794,0.00173947340445432,0.021441083524306,0.784175254734175,0.999538593213109
"ATG9A",1253.96492518186,0.00081991569482774,0.0211385979437375,0.87688948981935,0.999538593213109
"ABCB6",630.022353191274,0.000801546591432833,0.0214849171911155,0.854802434204012,0.999538593213109
"ZFAND2B",397.656003294971,0.00258326872541467,0.0215089687393724,0.641132919142477,0.999538593213109
"RETREG2",1323.56819156699,0.00232057419118269,0.0209315627222545,0.712994620753823,0.999538593213109
"CNPPD1",649.773328148409,0.00434080915396016,0.0217997090663147,0.424900257273844,0.999538593213109
"SLC23A3",17.6389101949598,-0.00029185832666458,0.0218590522316595,0.677189160366768,0.999538593213109
"NHEJ1",37.3676373469097,0.00161615771458073,0.0219080961482393,0.481829329565656,0.999538593213109
"CFAP65",7.6698264144208,0.000467286365717901,0.0218703459541203,0.523788693449376,0.999538593213109
"CDK5R2",0.483511206525605,0.000177013092736542,0.0218807728134879,0.388845672783345,NA
"WNT6",3.85286523397622,-0.000580100809954997,0.0218859486744848,0.268794334645509,NA
"LOC119056899",2.31520157231225,0.000566110057923484,0.0218869100894425,0.234780733924157,NA
"TTLL4",492.859643662226,-0.00247877257972833,0.021491882418722,0.754989704541127,0.999538593213109
"STK36",560.221888973819,-0.00680062090211875,0.0227823647382962,0.178651640675059,0.997303914460136
"RNF25",619.510748160015,0.00124601909189036,0.021276309501659,0.820826143094578,0.999538593213109
"LOC119039496",387.192529372353,-0.000477248275997737,0.0215074000888007,0.896995017856012,0.999538593213109
"ZNF142",513.242821174463,-0.00213397646323326,0.0212559736220128,0.694714872668728,0.999538593213109
"PLCD4",104.475705754612,-0.00409396785049024,0.022205497677493,0.212765999473703,0.999538593213109
"LOC128628050",1.50996112667533,9.70145566649809e-05,0.0218785748816503,0.757758207956947,NA
"CNOT9",703.151475871661,0.00947943681273468,0.0240202020145377,0.0547812265457785,0.933202999578087
"LOC119039547",8.30727525840386,-0.00096036410720377,0.0218990374992514,0.210337405652848,0.999538593213109
"USP37",852.310956453998,-0.00245057681533869,0.0214331092174637,0.427156278071908,0.999538593213109
"CTDSP1",534.866374794425,0.00157969599959129,0.0214974871911239,0.709950884281518,0.999538593213109
"SLC11A1",1.36309529454492,0.000105800567717333,0.0218781689512562,0.771972519443219,NA
"CATIP",6.17155075250589,0.00083080572450893,0.0218930926742137,0.235914117766571,0.999538593213109
"LOC119039533",280.894207177004,0.0038981231068969,0.0219742086013424,0.348881270140324,0.999538593213109
"TMBIM1",6415.81519896827,0.00588025250082416,0.0215470381397903,0.469902343651991,0.999538593213109
"LOC119039537",365.847974323517,0.00413434657092809,0.0219918866152096,0.336221191679174,0.999538593213109
"AAMP",2813.32523005267,0.00880874214467344,0.0230583304282031,0.214305552349446,0.999538593213109
"GPBAR1",9.32914051804586,-0.000252687831751792,0.0218705935871772,0.672721105534005,0.999538593213109
"ARPC2",13529.1464197265,0.00147401060510577,0.0214371157288504,0.749869630694994,0.999538593213109
"CXCR1",67.6252814314905,0.000162434765928416,0.0218601666733989,0.979927788611747,0.999538593213109
"LOC119039529",572.296932571094,0.000420020317558705,0.0218457321269925,0.752757135181218,0.999538593213109
"RUFY4",489.928195660383,0.000122494181839233,0.0218522725478033,0.924609020620908,0.999538593213109
"TNS1",6995.31626701903,-0.00221632356242003,0.0218041449678011,0.487569884242803,0.999538593213109
"LOC119039493",2.583430770837,6.6678983390335e-05,0.0218751999506635,0.910800712179132,NA
"IGFBP5",68219.3240202124,-0.0014424443165606,0.0218123018120813,0.552046258923628,0.999538593213109
"IGFBP2",3.39567978282988,-0.00032929986147261,0.0218780056088314,0.55445199662703,NA
"RPL37A",5771.55381962588,0.013199260580081,0.0256413662986202,0.139812577926448,0.997303914460136
"SMARCAL1",572.500399924685,-0.00291277178277782,0.0215618501990279,0.551682305844323,0.999538593213109
"XRCC5",1000.0644459059,0.000229892343461781,0.0209110785195597,0.93525672966117,0.999538593213109
