"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,-1.99115786932323e-05,0.04663812487116,0.985259257638815,NA
"LOC119041959",10.5013499976702,0.00120413819144209,0.0465627575608649,0.67165172261585,NA
"LOC119041957",13.3689812793219,0.00206929085189698,0.0466793591409615,0.144211252521142,NA
"LOC119041976",21.9012807202576,-0.00196247214459468,0.0465606341691616,0.593285009528116,NA
"LOC119041968",74.923640476577,0.00313355056244145,0.0458965556643391,0.723873709340926,NA
"SP140",35.6408951650419,0.000332130280615752,0.0459333556228464,0.975147250402929,NA
"SP110",444.507369499856,0.0232095501562324,0.0475198903798812,0.280707339372517,0.624096326045405
"LOC119041977",0.563868472699563,-0.000860456369751288,0.0466458866269874,0.282272794151043,NA
"SLC16A14",15.8544360584436,-0.0026229646124142,0.0464373878212926,0.679650960332047,NA
"FBXO36",133.133671869654,-0.0359866663751476,0.0651513187163695,0.0290601062829591,0.23390758320455
"TRIP12",11195.4501234621,0.0519666044148511,0.0421662122670128,0.0686749894258758,0.34805312049528
"DNER",197.425475813698,0.00573019470034347,0.0443273594971134,0.702570945799872,0.885848691246427
"PID1",23.9832419791102,0.00554550610782277,0.04657806423108,0.499916316761847,NA
"SPHKAP",7.67053077188669,-0.0016879017879879,0.0465511864017888,0.626687269186544,NA
"DAW1",10.5562709794758,-0.00748702627928607,0.0473260559144978,0.0913339850175195,NA
"CCL20",1.34190910872017,-0.0012422371321742,0.0466366774691102,0.409584002436118,NA
"LOC128627384",3.26833306226942,0.00222018798537067,0.0466832963923963,0.19384850898901,NA
"SLC19A3",234.962152494244,-0.00437956068030657,0.0440307201716843,0.607157916382586,0.838568226231366
"AGFG1",2462.00540493374,0.00339015268157741,0.0309984259051518,0.884692114684753,0.961170370268045
"TM4SF20",16.2279118776409,0.00496764052068779,0.0467116732259027,0.361033201136846,NA
"MFF",1966.26918556975,0.0376323084467384,0.0418294772454989,0.160302720292043,0.497013780834965
"LOC119044744",65.2154700951495,0.003126133023201,0.0456034314641443,0.803452165167425,NA
"COL4A3",43.7767409076831,-0.000255507266049767,0.0458923415928025,0.974914599293932,NA
"COL4A4",25.9710580638754,-0.0086324706798429,0.0472183878813774,0.262857218386989,NA
"RHBDD1",439.525183735018,0.00236387586584649,0.0399978236727033,0.900593802965788,0.967270762829381
"LOC119044738",211.000921524606,0.0226721462803736,0.0512992199152258,0.156052460346611,0.490171924553016
"IRS1",11334.6898186321,0.00384968727490321,0.0340642889229746,0.871121657100974,0.956891961807211
"LOC119044736",2.36629361550563,-0.000883221292942771,0.0465989220764778,0.662501399726811,NA
"LOC119044754",0.233208385188907,0.000426008361612418,0.0466387183650758,0.821984589550819,NA
"NYAP2",180.022783463704,0.0245802065963318,0.0532571494672654,0.1070701286833,0.416331160776272
"DOCK10",0.339239795058871,-0.000172792459784784,0.0466379541193339,0.82199054441156,NA
"LOC128627588",30.1763337201257,-0.00201403738694194,0.0461598457893334,0.772564624611432,NA
"CUL3",2598.56983100558,0.0229110835093282,0.0325106265187955,0.342832315679873,0.669443029866548
"SERPINE2",300.059452650463,0.0151184100983747,0.0453185941954891,0.450987139221903,0.751930216010738
"MRPL44",259.295902775652,0.00460291577111654,0.0441086043886789,0.760788109764837,0.912945731717805
"WDFY1",1942.85320662565,0.0775300519148495,0.0420485080299284,0.0122021683857416,0.161583042839544
"AP1S3",822.082315574098,0.0130873983270189,0.0400954917419556,0.557881741367549,0.81480757762683
"SCG2",0.596099382662621,-0.000890859939204675,0.0466418866265844,0.268147008059127,NA
"LOC119061933",1146.71283826614,0.000627246330981393,0.0458345087851963,0.943986847496629,0.980883842520372
"KCNE4",0.0868655763035126,-1.40232084131643e-05,0.04663815466141,0.986453474759982,NA
"ACSL3",1128.46056649345,0.0601909562273237,0.0482256153509457,0.0497765735668237,0.301747247228178
"MOGAT1",42.5770745395657,-0.00172526695363596,0.0459587182842289,0.828180934951343,NA
"FARSB",1784.20191867002,0.0516678519504971,0.0458956668151708,0.076493635124507,0.365300373350248
"SGPP2",2.73591257459058,-0.00102637125466656,0.0466004195007253,0.652261021005115,NA
"LOC128626908",0.697086960411415,0.000499899283673302,0.0466363793988597,0.741363682930039,NA
"EPHA4",7525.55582326858,0.0445615816434022,0.0389310784199608,0.100570668189876,0.409183821154954
"LOC128626614",0.161676851174357,-3.46436901107071e-05,0.0466382254767795,0.927642428328655,NA
"LOC119047933",0.228120801642128,-0.000175755257608775,0.0466382421024859,0.70963175350171,NA
