"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,1.97457616175652e-07,0.0014426950426926,0.988726522387276,0.999172459358083
"LOC119041959",10.5013499976702,1.38540532159273e-06,0.00144269242970545,0.333485173020656,0.999172459358083
"LOC119041957",13.3689812793219,1.56031350231998e-06,0.00144269453493921,0.0438197800028222,0.999172459358083
"LOC119041976",21.9012807202576,1.28359710026247e-06,0.00144269076447401,0.465863499835433,0.999172459358083
"LOC119041968",74.923640476577,-1.37054136846937e-06,0.00144267077384727,0.736525221567769,0.999172459358083
"SP140",35.6408951650419,2.82667708465624e-07,0.00144267521042553,0.942095721624075,0.999172459358083
"SP110",444.507369499856,1.56148874595236e-06,0.00144252521357591,0.875565295747086,0.999172459358083
"LOC119041977",0.563868472699563,1.0607500800232e-07,0.00144269473934115,0.997597076525595,0.999623285786929
"SLC16A14",15.8544360584436,-5.42020810546777e-07,0.00144268631920358,0.82555592896976,0.999172459358083
"FBXO36",133.133671869654,-1.98434116818351e-05,0.00144270289708369,0.00266085665242579,0.999172459358083
"TRIP12",11195.4501234621,1.60045041437215e-05,0.00144200242987319,0.470380249505307,0.999172459358083
"DNER",197.425475813698,-5.72046868462505e-06,0.00144261821623107,0.446654921231277,0.999172459358083
"PID1",23.9832419791102,6.71521688032666e-07,0.00144268048748864,0.841028356980969,0.999172459358083
"SPHKAP",7.67053077188669,8.37808203654344e-07,0.00144269109805648,0.674402680406444,0.999172459358083
"DAW1",10.5562709794758,-2.58729228480494e-06,0.00144269022893298,0.211347209801002,0.999172459358083
"CCL20",1.34190910872017,-1.18079123481262e-06,0.00144269475753703,0.051929556668939,0.999172459358083
"LOC128627384",3.26833306226942,9.71801905466745e-07,0.00144269428265672,0.211231047079859,0.999172459358083
"SLC19A3",234.962152494244,-6.51305784178794e-06,0.00144261470539256,0.412514136880659,0.999172459358083
"AGFG1",2462.00540493374,-1.10892184708011e-06,0.00144185825202244,0.964088784666005,0.999172459358083
"TM4SF20",16.2279118776409,-1.88486440881242e-06,0.00144268805367445,0.420379049923211,0.999172459358083
"MFF",1966.26918556975,-1.64532211480186e-05,0.00144217686111003,0.422479860443302,0.999172459358083
"LOC119044744",65.2154700951495,-1.63248091847774e-06,0.00144266218627811,0.73856492122711,0.999172459358083
"COL4A3",43.7767409076831,-1.22725552435678e-06,0.00144267452280424,0.758575528542478,0.999172459358083
"COL4A4",25.9710580638754,-2.58877953583616e-06,0.00144267950587452,0.466284485941027,0.999172459358083
"RHBDD1",439.525183735018,8.51526324375971e-06,0.00144247343962263,0.512924207789856,0.999172459358083
"LOC119044738",211.000921524606,5.69175984856669e-06,0.00144262231384512,0.448918782719544,0.999172459358083
"IRS1",11334.6898186321,1.50148592605941e-05,0.00144212783045681,0.473997796781705,0.999172459358083
"LOC119044736",2.36629361550563,-1.38377611404771e-06,0.00144269419885877,0.137381936032508,0.999172459358083
"LOC119044754",0.233208385188907,-1.04495058326904e-07,0.00144269503014952,0.981510809199138,0.999172459358083
"NYAP2",180.022783463704,-6.5056461609451e-06,0.00144263890189865,0.332134175476959,0.999172459358083
"DOCK10",0.339239795058871,-7.60036296827082e-08,0.00144269501609923,0.880182631346224,0.999172459358083
"LOC128627588",30.1763337201257,-2.91938188948375e-06,0.00144268190556944,0.366976792099086,0.999172459358083
"CUL3",2598.56983100558,2.56214689763071e-05,0.00144191482841993,0.294613894304818,0.999172459358083
"SERPINE2",300.059452650463,-4.1437742564716e-06,0.00144256750821904,0.667521647427439,0.999172459358083
"MRPL44",259.295902775652,1.05079238583337e-06,0.00144260813231011,0.892231473641863,0.999172459358083
"WDFY1",1942.85320662565,4.12427020214435e-05,0.00144214924715874,0.0939410317168054,0.999172459358083
"AP1S3",822.082315574098,-4.91568464374313e-06,0.00144239847023534,0.740707102544979,0.999172459358083
"SCG2",0.596099382662621,-5.67854611632468e-07,0.00144269490828197,0.172777248384429,0.999172459358083
"LOC119061933",1146.71283826614,1.2475424338546e-06,0.00144267076937116,0.769472168074952,0.999172459358083
"KCNE4",0.0868655763035126,-1.12639875760047e-07,0.00144269503931001,0.989594909100154,0.999172459358083
"ACSL3",1128.46056649345,2.73542087800521e-06,0.00144213397225463,0.891977037346011,0.999172459358083
