,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,0.211241345,-1.29E-05,0.04038271,0.995363732,NA
LOC119041959,10.50135,0.001422288,0.040328853,0.600113226,NA
LOC119041957,13.36898128,0.000946428,0.040363301,0.60492906,NA
LOC119041976,21.90128072,0.003782976,0.040514365,0.226572926,NA
LOC119041968,74.92364048,0.014741442,0.043821846,0.025769648,0.326991791
SP140,35.64089517,0.009146018,0.041436997,0.140349807,0.535858629
SP110,444.5073695,0.028312925,0.049081206,0.110664711,0.503910726
LOC119041977,0.563868473,0.000641421,0.040386449,0.448571058,NA
SLC16A14,15.85443606,0.002048582,0.040243174,0.54810447,NA
FBXO36,133.1336719,-0.00646419,0.039637601,0.534405079,0.822433899
TRIP12,11195.45012,0.039250591,0.03938911,0.107939127,0.501591503
DNER,197.4254758,0.014899328,0.042390804,0.207581015,0.602163659
PID1,23.98324198,0.006113935,0.040783981,0.181606351,NA
SPHKAP,7.670530772,0.002669438,0.040437973,0.278131644,NA
DAW1,10.55627098,-0.00147545,0.040269304,0.708282867,NA
CCL20,1.341909109,7.25E-05,0.040368435,0.955141948,NA
LOC128627384,3.268333062,-0.001087896,0.040375395,0.477099847,NA
SLC19A3,234.9621525,-0.015305534,0.042498721,0.205913266,0.600914748
AGFG1,2462.005405,-0.027260167,0.033395272,0.22221974,0.61364336
TM4SF20,16.22791188,-0.000972354,0.040177784,0.824490868,NA
MFF,1966.269186,0.058345521,0.051590007,0.041787189,0.388858572
LOC119044744,65.2154701,-0.009605215,0.041290944,0.22656263,0.617121994
COL4A3,43.77674091,0.007214559,0.040873023,0.240709055,0.631027477
COL4A4,25.97105806,0.00139075,0.040096978,0.781837436,NA
RHBDD1,439.5251837,0.019792624,0.041011591,0.271528663,0.657087767
LOC119044738,211.0009215,0.01316328,0.041588083,0.256149217,0.644990028
IRS1,11334.68982,0.023544487,0.035878429,0.276915256,0.660790671
LOC119044736,2.366293616,0.000107715,0.040355103,0.94846018,NA
LOC119044754,0.233208385,0.000337317,0.040383302,0.789713298,NA
NYAP2,180.0227835,0.34783641,0.165758736,0.001023276,0.084897267
DOCK10,0.339239795,0.000397526,0.040383798,0.71549641,NA
LOC128627588,30.17633372,-0.008677048,0.04140624,0.108630997,NA
CUL3,2598.569831,-0.031914088,0.033794249,0.162560033,0.559769947
SERPINE2,300.0594527,0.002409935,0.037988027,0.85380629,0.955543909
MRPL44,259.2959028,-0.016171415,0.042848252,0.189568884,0.586352134
WDFY1,1942.853207,0.048175106,0.039265036,0.060061397,0.425928357
AP1S3,822.0823156,-0.030520093,0.045239287,0.100274483,0.488824976
SCG2,0.596099383,-0.000397062,0.040382862,0.715394284,NA
LOC119061933,1146.712838,-0.012411426,0.042687828,0.062059621,0.430951939
KCNE4,0.086865576,-9.31E-06,0.040382731,0.995708951,NA
ACSL3,1128.460566,-0.000706293,0.031455021,0.970938063,0.992266338
MOGAT1,42.57707454,-0.004581407,0.040334919,0.431697125,0.765963081
FARSB,1784.201919,-0.027550641,0.037115583,0.217105894,0.609443546
SGPP2,2.735912575,-0.001231459,0.040383622,0.421384046,NA
LOC128626908,0.69708696,-0.00069436,0.040387142,0.411881618,NA
EPHA4,7525.555823,0.114540653,0.046364874,0.0011121,0.088411918
LOC128626614,0.161676851,0.000184738,0.040382392,0.936722788,NA
LOC119047933,0.228120802,-5.36E-05,0.040382439,0.989962955,NA
SLC4A3,108.7089919,-0.006140627,0.039933518,0.504057015,0.807003001
STK11IP,221.8480376,0.002003039,0.038589276,0.862937926,0.959843695
INHA,0.106735542,-1.44E-05,0.040382728,0.995718803,NA
OBSL1,3.453265866,-0.001918359,0.040420422,0.23569305,NA
TMEM198,7.298746481,-0.000280069,0.040283604,0.916068148,NA
CHPF,862.2445632,-0.010444006,0.03972013,0.428670541,0.764598067
ASIC4,0.434934344,-0.000302241,0.040383445,0.521063044,NA
GMPPA,321.5900713,-0.001943424,0.037923451,0.881928624,0.965723322
SPEGNB,0.826847076,-0.001218666,0.040403041,0.138026268,NA
SPEG,698.2926392,-0.018057427,0.042156394,0.244854068,0.634644925
DES,1.541870563,6.64E-06,0.040372029,0.963924607,NA
DNPEP,172.8894142,-0.007246076,0.039745547,0.497628949,0.804095698
PTPRN,322.5247585,0.010095573,0.039020811,0.480089169,0.796567007
DNAJB2,599.5160759,-0.000456028,0.037139674,0.974734197,0.993758473
LOC119056902,3.63287062,-0.000178998,0.040339809,0.921928136,NA
LOC119056884,798.4313124,0.001135683,0.03700028,0.940354076,0.986045524
STK16,450.6030462,-0.013165919,0.04040074,0.348416564,0.710624259
GLB1L,360.1415395,0.004813622,0.03786099,0.730759272,0.913562491
ANKZF1,553.1025388,0.003006634,0.036140619,0.854038957,0.955543909
ATG9A,957.9128255,0.14659514,0.072322827,0.885542485,0.966116666
ABCB6,720.754653,0.028522705,0.042919184,0.180165256,0.57673692
ZFAND2B,268.0517369,-0.016837917,0.043416454,0.167355099,0.563133587
RETREG2,1083.658075,-0.025061501,0.041319296,0.221229184,0.612447528
CNPPD1,607.8490588,-0.005566005,0.037029859,0.721174772,0.908234157
SLC23A3,37.33081752,-0.001253127,0.039956464,0.832768839,0.950957363
NHEJ1,58.54986198,-0.007324842,0.040617387,0.330449905,0.69810459
IHH,0.09735336,-1.09E-05,0.040382728,0.995715751,NA
CFAP65,9.032632727,-0.000409155,0.040278356,0.884784291,NA
CDK5R2,0.245275495,0.000115643,0.040381249,0.990778672,NA
WNT6,3.311303083,-0.004862468,0.040789033,0.006510512,NA
LOC119056899,4.473213812,-0.000378177,0.040330881,0.851413038,NA
TTLL4,587.2802706,0.080566074,0.103755258,0.02014186,0.305614642
STK36,527.7926633,0.01497793,0.03976596,0.358049637,0.716199847
RNF25,625.3496682,-3.44E-05,0.035845917,0.995981915,0.999647992
LOC119039496,478.5683265,0.000820477,0.035973132,0.960832803,0.990097338
ZNF142,646.9077735,0.003573604,0.036181323,0.827302031,0.948929255
PLCD4,128.4558367,-0.002097192,0.039148446,0.831142294,0.950669508
LOC128628050,2.905814391,-0.000176533,0.040342816,0.915799082,NA
CNOT9,1327.609389,-0.017188689,0.032750929,0.412231385,0.754420809
USP37,1235.212814,0.036604459,0.046432896,0.118156842,0.512130522
VIL1,3.234974997,0.000782633,0.040367604,0.56284434,NA
CTDSP1,469.2488272,0.004687498,0.036544066,0.770535747,0.926742317
SLC11A1,1.646299336,-0.001635244,0.040413742,0.184962138,NA
CATIP,4.143463959,-0.001621777,0.040408531,0.257321418,NA
LOC119039533,275.8278976,0.01263201,0.039735584,0.392213981,0.742950289
TMBIM1,5603.968709,-0.034054337,0.038220934,0.147254492,0.54230412
LOC119039537,285.3917817,-0.020114768,0.045856357,0.090898515,0.474891025
AAMP,2321.63862,-0.040873917,0.055019068,0.079809745,0.456618263
GPBAR1,5.189335956,-0.001734428,0.040382344,0.407862442,NA
ARPC2,14406.97573,-0.057599286,0.054305888,0.043847255,0.396001669
CXCR1,73.48685831,-0.023017723,0.049319595,0.020788917,0.306530737
LOC119039525,0.346189362,-0.000100448,0.040382207,0.985641495,NA
LOC119039529,624.1517551,-0.066621019,0.08356039,0.015285835,0.283413992
RUFY4,709.2092706,-0.090913671,0.082236791,0.190442978,0.586810454
TNS1,8126.778342,0.018798469,0.036569865,0.354757116,0.71424275
LOC128628505,1.328857799,0.001585732,0.04041353,0.183150763,NA
LOC119039542,1.221879763,0.000433823,0.04036929,0.730100839,NA
IGFBP5,92949.81762,0.013747221,0.029612906,0.505745306,0.807543487
IGFBP2,11.04872978,0.000275638,0.040255799,0.935402777,NA
RPL37A,4084.371193,-0.017097914,0.043855173,0.136727493,0.53189255
SMARCAL1,707.0404326,0.001861206,0.034639455,0.915447782,0.978962035
MARCHF4,1.368400814,-0.000625954,0.040375412,0.555415852,NA
XRCC5,1326.46352,-0.027294956,0.038879757,0.214709626,0.606568464
TMEM169,94.89379973,-0.016095719,0.043752535,0.117458203,0.512130522
PECR,143.1806625,-7.50E-05,0.038755452,0.990955955,0.998641628
MREG,26.95235741,-0.001733376,0.040119408,0.727664005,NA
LOC128627015,0.561993068,0.000556678,0.040385317,0.447650873,NA
LOC119062559,0.145186093,-1.54E-05,0.040382725,0.995739714,NA
FN1,6100.435049,0.00157464,0.036209194,0.921407902,0.980735761
ATIC,1388.42312,0.001158154,0.033599451,0.950669141,0.988362273
