"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,-1.2939060911514e-05,0.0382080334031363,0.990709614058831,NA
"LOC119041959",10.5013499976702,0.00409075925718141,0.0384668604681183,0.0759314902489399,NA
"LOC119041957",13.3689812793219,0.00147148491818037,0.0382352659769154,0.12613757224502,NA
"LOC119041976",21.9012807202576,0.00520120851514472,0.0386297401530288,0.0718258337560717,NA
"LOC119041968",74.923640476577,0.0134726723946525,0.041220963726551,0.0404130134915102,0.392880816598077
"SP140",35.6408951650419,-0.00467109647782008,0.0382588198133789,0.374772618235896,0.773088480498902
"SP110",444.507369499856,0.0940886611250013,0.16119815389055,0.030212256806848,0.35104318389803
"LOC119041977",0.563868472699563,-0.000294755822094836,0.0382058269729919,0.502631037851805,NA
"SLC16A14",15.8544360584436,-0.00672693321077915,0.0389437204145952,0.0488130589972059,NA
"FBXO36",133.133671869654,0.00874947490718854,0.0383557173398594,0.34450325135706,0.756367736242447
"TRIP12",11195.4501234621,0.0665070650194162,0.0476955311594119,0.0217658501274835,0.315748538944191
"DNER",197.425475813698,0.00278469855990033,0.0368044937214738,0.788406662606602,0.942997734429197
"PID1",23.9832419791102,0.00320968499209579,0.0381118163756835,0.49743527869971,NA
"SPHKAP",7.67053077188669,0.00101818390239278,0.0381498753617356,0.682496848107683,NA
"DAW1",10.5562709794758,-0.00212953139295583,0.0381726877489745,0.503842425173027,NA
"CCL20",1.34190910872017,0.000592477041545807,0.0381963516737647,0.673261491252883,NA
"LOC128627384",3.26833306226942,0.00265190404835902,0.038324484810574,0.0446142743302586,NA
"SLC19A3",234.962152494244,-0.0130266059404128,0.0396199176216562,0.2361998841131,0.67268553738387
"AGFG1",2462.00540493374,0.0085859335180236,0.0286839084724114,0.655412072733564,0.90095629582007
"TM4SF20",16.2279118776409,0.00099510512860009,0.0380630944145125,0.776585059512311,NA
"MFF",1966.26918556975,-0.00816102381757576,0.0311752487374877,0.659569889266892,0.903245981629774
"LOC119044744",65.2154700951495,0.000888556757466553,0.0375754414904681,0.89933030910765,0.974913543050901
"COL4A3",43.7767409076831,0.00688290173493309,0.038684113482952,0.239141165972295,0.675627934218681
"COL4A4",25.9710580638754,-0.00635584104492453,0.0386730469507625,0.175245807026168,NA
"RHBDD1",439.525183735018,-0.00882143069435651,0.0354544841553288,0.565335630425002,0.866538282141656
"LOC119044738",211.000921524606,0.0174465070866166,0.0423113778521364,0.112770194076464,0.533402336329541
"IRS1",11334.6898186321,0.00956206802837779,0.0311562054405646,0.611237923179755,0.886875853116293
"LOC119044736",2.36629361550563,-0.0019733657443158,0.0382613452788169,0.139044280155022,NA
"LOC119044754",0.233208385188907,-3.65501726265642e-05,0.0382079139973965,0.984868376077889,NA
"NYAP2",180.022783463704,0.0104129499450272,0.038940795622854,0.397519640153392,0.787145186817273
"DOCK10",0.339239795058871,-0.000114123737752976,0.038207923101479,0.834113784545679,NA
"LOC128627588",30.1763337201257,0.00178925084935438,0.037964347194475,0.76594328507645,NA
"CUL3",2598.56983100558,0.010379086116325,0.0285015591155303,0.594350351904142,0.878659470378183
"SERPINE2",300.059452650463,0.00413117841505879,0.0361510884015897,0.781611813023185,0.940632198396728
"MRPL44",259.295902775652,-0.0118722873327067,0.0391492508295433,0.270693953478956,0.704109523082989
"WDFY1",1942.85320662565,0.107213563096271,0.0442922095059957,0.00128261970451678,0.0987208694865018
"AP1S3",822.082315574098,0.0100017919627331,0.034721136668105,0.548413961253739,0.857979584126124
