Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC119056095,5.981002747,9.827902791,2.058155622,1.11E-12,2.98E-11
APOL6,430.0394788,8.630707955,0.316186452,7.02E-165,2.86E-162
LOC119058800,5.765052117,8.302607571,1.386872038,2.28E-10,5.00E-09
LOC119037600,6.202116579,7.843760186,1.262783224,6.02E-11,1.39E-09
PARP15,55.61511286,7.790008017,0.468791175,1.03E-60,1.26E-58
LOC119042748,25.00668434,7.733001934,0.536988892,5.56E-46,4.92E-44
LOC119056100,10.54774051,7.732737424,0.990930853,1.75E-13,5.02E-12
UBA7,69.5635437,7.71960705,0.358051053,2.36E-102,6.29E-100
LOC119056102,123.0309747,7.625429739,0.256297051,1.52E-193,7.99E-191
ETV7,163.5074674,7.605107943,0.372528267,4.50E-93,9.91E-91
LOC119039254,5.788390311,7.514922957,1.045715758,5.32E-12,1.35E-10
LOC119056101,332.6734345,7.270414663,0.238300137,2.02E-205,1.27E-202
LOC128626159,5.696147009,7.202325096,1.090108006,1.41E-10,3.16E-09
ZBP1,3.476097704,7.017791923,1.406166131,5.54E-08,9.23E-07
LOC119058968,20.97918222,6.898036038,0.672384938,2.57E-25,1.35E-23
BST2,32.06072863,6.806544893,0.432063155,8.99E-56,9.63E-54
SERPING1,26.4707304,6.772546733,0.481886871,4.54E-44,3.86E-42
CXCL10,75.71088166,6.592173653,0.539129767,3.35E-35,2.35E-33
LOC128626953,5.019146664,6.526840211,1.10418321,6.00E-09,1.11E-07
LOC119054330,25.71557786,6.47158115,0.435291937,6.33E-50,5.93E-48
GIMAP8,10.7419766,6.424067654,0.636054371,3.73E-24,1.90E-22
LOC128628317,1.476654493,6.400627971,3.126716749,0.002998376,0.017611944
FOXS1,17.11726859,6.204785326,0.587653964,6.65E-26,3.59E-24
CIITA,2.397434345,6.140462936,1.825462208,1.32E-06,1.76E-05
SAMD9L,4.656645243,6.084117722,0.973491197,3.76E-10,8.07E-09
LOC119041976,21.90128072,6.026641752,0.426745989,1.45E-45,1.27E-43
PSMB8,82.01408699,5.97084135,0.284686487,1.97E-98,4.85E-96
LOC119041957,13.36898128,5.955371472,0.90013391,5.44E-12,1.37E-10
MX2,179.7773753,5.898893475,0.188327421,3.54E-216,2.51E-213
LOC119041954,12.08401475,5.830815818,0.5351987,5.26E-28,3.08E-26
NLRC5,256.1709505,5.819351139,0.156289902,1.09E-303,1.19E-300
LOC119060799,6.735362871,5.650396759,0.792877661,5.19E-13,1.43E-11
PSMB9,76.56433581,5.58837142,0.268488644,6.20E-97,1.46E-94
LOC119041955,19.35906805,5.565577154,0.448620217,9.07E-36,6.48E-34
IL15RA,28.36490019,5.539770222,0.405632205,7.34E-43,5.95E-41
PARP14,827.1854381,5.516458444,0.090800639,0,0
IDO1,2.31306356,5.443802228,1.63447564,0.000234843,0.002017146
TNFSF10,6.499094052,5.438647241,0.927964575,3.19E-09,6.12E-08
XDH,40.94955433,5.419152831,0.27636883,5.84E-86,1.11E-83
LOC119047726,45.89375961,5.331462667,0.33625611,3.28E-57,3.66E-55
IFIH1,32.53079181,5.248465647,0.359934515,1.16E-48,1.05E-46
IRF1,547.7290296,5.196263329,0.110675493,0,0
LOC119048221,15.1365062,5.107063285,0.522766625,4.74E-23,2.29E-21
TNFRSF14,47.74158379,4.999558716,0.265799871,1.93E-79,3.14E-77
IRF7,22.27648233,4.939206506,0.419719874,8.01E-33,5.26E-31
ISG20,2.811622998,4.892155023,1.206897744,1.47E-05,0.000164103
PXT1,1.579409261,4.814209885,1.834797657,0.000813275,0.005910573
CASP1,8.149489024,4.73667065,0.634378598,1.48E-14,4.52E-13
IFI44L,77.17217773,4.709066,0.218988658,1.95E-103,5.39E-101
LOC119041959,10.50135,4.665661328,0.512870064,1.46E-20,6.35E-19
CLEC2B,13.36760772,4.662992121,0.517108948,3.25E-20,1.38E-18
SAMD9,46.66870477,4.660055652,0.254801976,1.94E-75,2.92E-73
MX1,58.22961411,4.592629751,0.248416818,2.24E-77,3.50E-75
