"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,-9.21580020478721e-09,0.00144269503602013,0.999839268826788,0.999998348161973
"LOC119041959",10.5013499976702,-1.87250324825456e-06,0.0014426922767144,0.248307727483508,0.999998348161973
"LOC119041957",13.3689812793219,-5.16221553889478e-07,0.00144269364822688,0.595197588359626,0.999998348161973
"LOC119041976",21.9012807202576,-1.23246516021962e-06,0.00144269044177927,0.517631569350914,0.999998348161973
"LOC119041968",74.923640476577,6.61761462015031e-06,0.00144267671919105,0.126197416214229,0.999998348161973
"SP140",35.6408951650419,6.88769015385643e-06,0.00144268110366236,0.0879805457366241,0.999998348161973
"SP110",444.507369499856,1.3980978557696e-05,0.00144255225414388,0.218509654842297,0.999998348161973
"LOC119041977",0.563868472699563,4.92152455137439e-07,0.00144269488741458,0.348159663761012,0.999998348161973
"SLC16A14",15.8544360584436,-8.09407854680513e-07,0.00144268566390164,0.752663117845711,0.999998348161973
"FBXO36",133.133671869654,-2.19761432764111e-06,0.00144262516669631,0.751022850702203,0.999998348161973
"TRIP12",11195.4501234621,4.00673575290583e-05,0.00144222947991088,0.0840250071726899,0.999998348161973
"DNER",197.425475813698,6.78135956398718e-06,0.00144261965473617,0.3812819251601,0.999998348161973
"PID1",23.9832419791102,2.32965894421229e-06,0.00144268335854324,0.436364223159821,0.999998348161973
"SPHKAP",7.67053077188669,1.8711762160431e-06,0.00144269207463861,0.239349286489087,0.999998348161973
"DAW1",10.5562709794758,-3.79969601334584e-06,0.00144269122995244,0.0773329490582661,0.999998348161973
"CCL20",1.34190910872017,-5.08687207397831e-07,0.00144269458637146,0.388717513079601,0.999998348161973
"LOC128627384",3.26833306226942,-3.17820806009588e-07,0.0014426935915047,0.751190576350157,0.999998348161973
"SLC19A3",234.962152494244,-6.71878570510498e-06,0.00144261400139169,0.401253740545583,0.999998348161973
"AGFG1",2462.00540493374,-1.35314573270492e-05,0.00144184376766245,0.594750757457596,0.999998348161973
"TM4SF20",16.2279118776409,-1.38019366108786e-06,0.00144268527136526,0.605749215570656,0.999998348161973
"MFF",1966.26918556975,2.20072737402038e-06,0.00144212461904621,0.914388188303003,0.999998348161973
"LOC119044744",65.2154700951495,-5.527458762389e-06,0.00144266521719079,0.284999899778681,0.999998348161973
"COL4A3",43.7767409076831,1.02775426683491e-05,0.00144269068846512,0.0112257569060766,0.999998348161973
"COL4A4",25.9710580638754,-4.84370954157163e-06,0.00144268591197118,0.118104656035669,0.999998348161973
"RHBDD1",439.525183735018,4.01636831224677e-06,0.00144245072131732,0.757651189778331,0.999998348161973
"LOC119044738",211.000921524606,1.35930503602804e-05,0.00144264353021122,0.0805269206564916,0.999998348161973
"IRS1",11334.6898186321,1.84299986202788e-05,0.00144214584203831,0.327353766803462,0.999998348161973
"LOC119044736",2.36629361550563,8.15437869545492e-07,0.0014426937197701,0.434457056415271,0.999998348161973
"LOC119044754",0.233208385188907,2.21137833922921e-07,0.00144269497862871,0.895042326915722,0.999998348161973
