"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,-2.19748467133336e-05,0.0491181453002933,0.991625574303639,NA
"LOC119041959",10.5013499976702,0.00321314157710673,0.0490987484596347,0.480282990702987,NA
"LOC119041957",13.3689812793219,-0.00367484040504696,0.0492787973377368,0.0866001954871853,NA
"LOC119041976",21.9012807202576,-0.00170990260304878,0.0489597420325572,0.703013844535099,NA
"LOC119041968",74.923640476577,0.0203991510344283,0.0543102096772841,0.0453366592705871,NA
"SP140",35.6408951650419,0.00920670288619708,0.0495163969214275,0.308635913810227,NA
"SP110",444.507369499856,0.0265615663152522,0.0506504555651925,0.238852637050684,NA
"LOC119041977",0.563868472699563,-0.000210946780372389,0.0491168346224827,0.963509129254872,NA
"SLC16A14",15.8544360584436,-0.00243517972643511,0.0488357749883262,0.595623100390405,NA
"FBXO36",133.133671869654,-0.356968513123306,0.179594077798148,0.00133402905604629,NA
"TRIP12",11195.4501234621,0.116878338780273,0.0473459182244677,0.0015042724455246,0.0664309135880742
"DNER",197.425475813698,0.0336857932344715,0.0613869997017963,0.0808132060619255,NA
"PID1",23.9832419791102,0.00558681638490101,0.0490641538292586,0.283223312613938,NA
"SPHKAP",7.67053077188669,0.00328311389747816,0.0491410806154526,0.33486188121806,NA
"DAW1",10.5562709794758,0.000789935427757203,0.0488312651551137,0.892755786774741,NA
"CCL20",1.34190910872017,-0.000635851273455047,0.0491012418694756,0.672261868471285,NA
"LOC128627384",3.26833306226942,1.21017311362712e-05,0.0490568435326412,0.992312697351312,NA
"SLC19A3",234.962152494244,0.00369124006426015,0.0460042042943991,0.823612827963358,NA
"AGFG1",2462.00540493374,-0.043817356543543,0.03721412032077,0.108985155946791,0.327525953441899
"TM4SF20",16.2279118776409,-0.00171028606022371,0.0487566816316068,0.645106889579331,NA
"MFF",1966.26918556975,0.066099404038332,0.0499993960425994,0.0421353142067893,0.217486117365088
"LOC119044744",65.2154700951495,-0.0166948876379476,0.0517986052260064,0.172978400334918,NA
"COL4A3",43.7767409076831,0.0147293320090571,0.0514975528264994,0.212985313590668,NA
"COL4A4",25.9710580638754,0.000965768410448898,0.0485483476609536,0.932886251949556,NA
"RHBDD1",439.525183735018,-0.00162482826131016,0.0414697049847674,0.940913643224485,NA
"LOC119044738",211.000921524606,0.0219191264968834,0.0523501499943301,0.205411306974379,NA
"IRS1",11334.6898186321,0.0784852424414189,0.0509973038910067,0.0219646317580391,0.165173195022146
"LOC119044736",2.36629361550563,0.000835099038939072,0.0490742843208205,0.727613322942182,NA
"LOC119044754",0.233208385188907,-5.62472950273688e-05,0.0491178817311973,0.986384879054496,NA
"NYAP2",180.022783463704,0.0743567752793688,0.160505112697629,0.0158666035837965,NA
"DOCK10",0.339239795058871,-8.67243020187779e-05,0.049117602092174,0.981068825709734,NA
"LOC128627588",30.1763337201257,-0.00417765403431946,0.0486811864156894,0.604651518194266,NA
