,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,0.211241345,-1.89E-05,0.046134716,0.991954189,NA
LOC119041959,10.50135,0.002062212,0.046104899,0.479262785,NA
LOC119041957,13.36898128,0.002158196,0.046183552,0.124505291,NA
LOC119041976,21.90128072,0.002363567,0.046066875,0.529117854,NA
LOC119041968,74.92364048,0.009095553,0.046546252,0.307000215,NA
SP140,35.64089517,-0.00796486,0.046497139,0.296734429,NA
SP110,444.5073695,0.063410945,0.087506833,0.037298235,0.263079297
LOC119041977,0.563868473,-0.000403119,0.046130408,0.507255081,NA
SLC16A14,15.85443606,0.000873906,0.045842062,0.91803503,NA
FBXO36,133.1336719,-0.017597416,0.048644867,0.199335458,NA
TRIP12,11195.45012,0.036486083,0.038283731,0.162233731,0.497892342
DNER,197.4254758,0.00211453,0.0435679,0.884800072,0.958103672
PID1,23.98324198,0.002653269,0.045740587,0.696450609,NA
SPHKAP,7.670530772,0.003204105,0.046157318,0.382911928,NA
DAW1,10.55627098,-0.00137886,0.045942225,0.73921122,NA
CCL20,1.341909109,-0.001510535,0.046148608,0.292221423,NA
LOC128627384,3.268333062,0.003758824,0.046326913,0.050615716,NA
SLC19A3,234.9621525,-0.002793155,0.043484505,0.812797202,0.931921035
AGFG1,2462.005405,0.032464538,0.03517103,0.197802421,0.544176145
TM4SF20,16.22791188,0.003227934,0.046004932,0.53447966,NA
MFF,1966.269186,0.044980394,0.044488102,0.106394705,0.41093547
LOC119044744,65.2154701,-0.008019682,0.046027485,0.414999387,NA
COL4A3,43.77674091,0.003614134,0.045612499,0.6542271,NA
COL4A4,25.97105806,-0.0134202,0.048494759,0.061863833,NA
RHBDD1,439.5251837,-0.004581259,0.039961588,0.820497131,0.935239504
LOC119044738,211.0009215,0.219153695,0.20348341,0.005805645,0.117862697
IRS1,11334.68982,0.003005551,0.033847185,0.899371509,0.962490279
LOC119044736,2.366293616,-0.002821481,0.046223455,0.134033746,NA
LOC119044754,0.233208385,0.000563331,0.046137413,0.697603834,NA
NYAP2,180.0227835,0.015395802,0.04744381,0.38662365,0.697871591
DOCK10,0.339239795,-0.000165878,0.046134517,0.836887589,NA
LOC128627588,30.17633372,0.001058072,0.045621085,0.824663051,NA
CUL3,2598.569831,0.033753519,0.034655597,0.179693508,0.521444412
SERPINE2,300.0594527,0.009464316,0.043291665,0.513392924,0.781307822
MRPL44,259.2959028,-0.002529901,0.043539235,0.794140076,0.925895013
WDFY1,1942.853207,0.046768775,0.038196043,0.083233045,0.372279378
AP1S3,822.0823156,0.018822155,0.041585625,0.40399203,0.714360733
SCG2,0.596099383,-0.000860311,0.046138007,0.288045786,NA
LOC119061933,1146.712838,-0.004807174,0.045711312,0.562969565,0.810938436
KCNE4,0.086865576,-1.31E-05,0.046134746,0.992617638,NA
ACSL3,1128.460566,0.043172045,0.043546806,0.116908388,0.429734448
MOGAT1,42.57707454,0.007999964,0.046409292,0.280544715,NA
FARSB,1784.201919,0.044376211,0.043857939,0.109495161,0.415839472
SGPP2,2.735912575,0.001867937,0.046124925,0.45696059,NA
LOC128626908,0.69708696,0.001777557,0.046175537,0.121564137,NA
EPHA4,7525.555823,0.036458948,0.037068376,0.15827057,0.492159813
LOC128626614,0.161676851,-3.06E-05,0.046134806,0.933783863,NA
LOC119047933,0.228120802,-0.000169814,0.046134797,0.723089545,NA
SLC4A3,108.7089919,-0.009991797,0.045823227,0.481963757,NA
STK11IP,221.8480376,-0.009955106,0.044709924,0.50798715,0.777330572
INHA,0.106735542,-2.93E-05,0.046134791,0.933804726,NA
OBSL1,3.453265866,-0.001075156,0.046086169,0.660868174,NA
TMEM198,7.298746481,-0.003639114,0.046208013,0.309057152,NA
CHPF,862.2445632,-0.209273566,0.147778203,0.00439119,0.103147327
ASIC4,0.434934344,-0.000433636,0.04613661,0.406629712,NA
GMPPA,321.5900713,-0.00055908,0.042457406,0.972196717,0.988920173
SPEGNB,0.826847076,0.000343701,0.046120944,0.843089257,NA
SPEG,698.2926392,-0.102816544,0.139302399,0.016664655,0.189256218
DES,1.541870563,0.001596779,0.046153468,0.285716082,NA
DNPEP,172.8894142,-0.31359513,0.172488107,0.001892185,0.071655494
PTPRN,322.5247585,-0.003998983,0.042069183,0.819659176,0.935067535
DNAJB2,599.5160759,-0.045860692,0.067737383,0.064001176,0.331290162
LOC119056902,3.63287062,0.00396816,0.046326051,0.10684951,NA
LOC119056884,798.4313124,-0.029042678,0.05142132,0.170350674,0.509411958
STK16,450.6030462,-0.010661226,0.043763409,0.534484564,0.79485003
GLB1L,360.1415395,-0.03463851,0.057171394,0.097107648,0.394487971
ANKZF1,553.1025388,0.000774948,0.039710875,0.969769015,0.987982457
ATG9A,957.9128255,-0.013869857,0.03883124,0.538855848,0.796645231
ABCB6,720.754653,-0.014390942,0.039278937,0.522341209,0.786721818
ZFAND2B,268.0517369,-0.022670871,0.050988763,0.158368699,0.49228852
RETREG2,1083.658075,-0.001731602,0.037590668,0.936317368,0.975169114
CNPPD1,607.8490588,-0.047205669,0.065643468,0.071589832,0.347930685
SLC23A3,37.33081752,0.003940445,0.04564709,0.586399085,NA
NHEJ1,58.54986198,-0.001771895,0.045189436,0.919832974,NA
IHH,0.09735336,-1.46E-05,0.046134741,0.992610839,NA
CFAP65,9.032632727,0.002201519,0.0460454,0.578267138,NA
CDK5R2,0.245275495,0.000296983,0.04613399,0.891100113,NA
WNT6,3.311303083,-0.003390697,0.046263529,0.094230629,NA
LOC119056899,4.473213812,0.001907952,0.046104093,0.515423968,NA
TTLL4,587.2802706,0.029924811,0.049589931,0.190627006,0.535009646
STK36,527.7926633,-0.035985413,0.055393063,0.123799271,0.440883188
RNF25,625.3496682,-0.016095024,0.042229794,0.4495746,0.745182955
LOC119039496,478.5683265,0.005636824,0.040507987,0.777762609,0.920262197
ZNF142,646.9077735,-0.052103367,0.067066843,0.065249905,0.333431408
PLCD4,128.4558367,0.013315419,0.046891047,0.29954464,NA
LOC128628050,2.905814391,0.001371609,0.046085755,0.634312709,NA
CNOT9,1327.609389,0.010969378,0.033501269,0.63919752,0.851919366
USP37,1235.212814,0.045119964,0.050308121,0.107202134,0.412075929
VIL1,3.234974997,0.00276971,0.046199505,0.245385404,NA
