,baseMean,log2FoldChange,lfcSE,pvalue,padj
RAMP1,53.31278313,0.558970455,0.239041522,0.00055711,0.999567029
SLC25A5,4748.947929,0.390826013,0.067795112,0.69074985,0.999567029
UBE2K,1821.084534,0.359946953,0.055285958,0.424206435,0.999567029
ZCCHC3,344.3372531,0.357453865,0.097290447,0.003712527,0.999567029
MAGED1,1312.24205,0.348874232,0.057505243,0.564652918,0.999567029
PPM1G,3127.243904,0.347547952,0.05540851,0.78848378,0.999567029
VDAC3,3012.56636,0.341069308,0.071819239,0.878750048,0.999567029
EIF4G1,13103.16345,0.337517983,0.027691109,0.261410325,0.999567029
NSA2,1702.923814,0.321448418,0.088995306,0.917165106,0.999567029
SUGCT,3243.972845,0.31686453,0.08559113,0.339106928,0.999567029
DSG2,3362.753109,0.316472342,0.04117852,0.346844156,0.999567029
VDAC1,3454.158847,0.316287401,0.054193023,0.506414856,0.999567029
RMND5A,1478.551096,0.313343769,0.074509463,0.633852616,0.999567029
ARF4,5772.586082,0.313165433,0.057870243,0.727576358,0.999567029
USP34,7013.543409,0.311158883,0.075301991,0.386139306,0.999567029
PPP2CB,7788.609806,0.309741543,0.041645478,0.865415314,0.999567029
RPL9,9035.925727,0.308140186,0.109391236,0.549354643,0.999567029
CORO1C,15759.6026,0.307945894,0.025980701,0.363580833,0.999567029
DONSON,563.116509,0.307306041,0.073616289,0.006518104,0.999567029
RTRAF,1594.871387,0.306046428,0.068190731,0.808351448,0.999567029
BLTP3A,1542.889227,0.303777411,0.062085664,0.485790844,0.999567029
CLTC,16179.5261,0.301235629,0.039902354,0.56553689,0.999567029
SKP1,2177.079665,0.293683862,0.093874249,0.540688426,0.999567029
NOP56,3308.96801,0.293241934,0.060016455,0.618089438,0.999567029
PLAGL1,3070.604304,0.291607762,0.058809514,0.689131293,0.999567029
PGP,1166.977433,0.291145613,0.066379829,0.735537857,0.999567029
RIF1,4232.877644,0.289845777,0.070358535,0.542465049,0.999567029
PNRC2,2704.926827,0.289759938,0.059301739,0.322071427,0.999567029
SF3B2,3761.630752,0.288872149,0.046726037,0.785912518,0.999567029
TOMM22,1294.881343,0.284621948,0.084622455,0.947410237,0.999567029
PLCXD2,4061.787058,0.281499599,0.068937511,0.597251857,0.999567029
SUPT6H,3273.611723,0.279526305,0.05868722,0.174431258,0.999567029
DICER1,3360.727685,0.27857245,0.059654702,0.467205537,0.999567029
GON4L,3058.16724,0.275314394,0.060473266,0.349296016,0.999567029
SUMO1,4056.105311,0.274832493,0.067503854,0.613997412,0.999567029
KLHL3,299.9477883,0.274253949,0.126497068,0.035194468,0.999567029
SMIM15,1052.796824,0.271849939,0.088639385,0.942791887,0.999567029
MGAT5,971.916071,0.269523686,0.079027886,0.465248533,0.999567029
EIF3H,2613.116773,0.269121025,0.072854408,0.666127056,0.999567029
PHF21A,1238.235948,0.268477963,0.074608894,0.543193473,0.999567029
TXNRD1,9423.624624,0.267904109,0.030005664,0.253444254,0.999567029
LOC119053921,1586.689734,0.267285642,0.067108383,0.41015619,0.999567029
RAD23A,1029.621769,0.263835804,0.083561798,0.908461922,0.999567029
ARL6,757.8027377,0.263373637,0.069419985,0.177625017,0.999567029
EOGT,1520.73101,0.262974105,0.054484989,0.480483003,0.999567029
DCAF13,1711.890068,0.261761854,0.070065326,0.865021162,0.999567029
ARHGAP17,4878.899505,0.26149232,0.067802915,0.885898908,0.999567029
SH2D5,668.3069092,0.260459274,0.102373592,0.276224121,0.999567029
TMOD2,412.0761833,0.26018173,0.105960886,0.093921254,0.999567029
TNFAIP1,5770.497141,0.258573578,0.031386271,0.264874175,0.999567029
MRTFA,974.0157628,0.256654353,0.077890827,0.663144098,0.999567029
USP31,1926.545291,0.255886597,0.086413224,0.521578355,0.999567029
COPG2,1012.505431,0.255079848,0.06135639,0.501100984,0.999567029
ZNF655,2343.630511,0.254310929,0.068607048,0.495656225,0.999567029
PLAUR,914.9580055,0.254272355,0.087458157,0.484475242,0.999567029
AHSA1,1507.130496,0.254208319,0.080624669,0.573100288,0.999567029
SENP5,1522.922967,0.253609173,0.055790624,0.132679089,0.999567029
CLASP1,3485.695074,0.253225633,0.086152432,0.960598462,0.999567029
MTREX,3677.887993,0.252940258,0.039699599,0.874519112,0.999567029
SPIDR,974.7092011,0.252921163,0.082411369,0.557778625,0.999567029
ZFAND3,3048.072684,0.250498715,0.045294856,0.10235269,0.999567029
SPATA6L,227.0258764,0.249583123,0.202056124,0.015538181,0.999567029
PIK3R4,1648.234258,0.248996556,0.060849653,0.803679801,0.999567029
RPL19,5472.972445,0.248657491,0.162678933,0.515191891,0.999567029
IL13RA1,1480.766879,0.247212069,0.057013929,0.940404557,0.999567029
CNKSR2,322.5894329,0.246573339,0.115073139,0.000827226,0.999567029
SDHB,1075.260095,0.246457496,0.060124113,0.507631739,0.999567029
SMG7,2536.800572,0.246450282,0.051564303,0.329554096,0.999567029
TNRC6C,1466.901216,0.245820637,0.070134188,0.074012512,0.999567029
DENR,1486.044787,0.244837863,0.091633183,0.529408378,0.999567029
ACAA2,1467.308518,0.244603712,0.058242112,0.75963426,0.999567029
ASH1L,3339.367153,0.244319625,0.090584467,0.755205721,0.999567029
PRRC1,378.6805491,0.244315721,0.108385529,0.086409681,0.999567029
HAUS5,1203.169979,0.242319585,0.067220041,0.562657554,0.999567029
