"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,-3.69490819180409e-09,0.00144269503597839,0.999988746520617,0.999999992999996
"LOC119041959",10.5013499976702,-8.44695352630011e-07,0.00144269060935851,0.565229803728437,0.999999992999996
"LOC119041957",13.3689812793219,-1.14095330217417e-06,0.00144269389413187,0.245289780643795,0.999999992999996
"LOC119041976",21.9012807202576,-1.52923884805819e-06,0.00144268868431706,0.379454966052929,0.999999992999996
"LOC119041968",74.923640476577,-7.34462583089507e-06,0.00144267489212665,0.112951448778055,0.999999992999996
"SP140",35.6408951650419,1.43996694300583e-06,0.00144267261915269,0.679979148228865,0.999999992999996
"SP110",444.507369499856,2.00664727430911e-05,0.00144257708453644,0.0851683282961668,0.999999992999996
"LOC119041977",0.563868472699563,-8.74031345246301e-08,0.00144269476968285,0.696574891788426,0.999999992999996
"SLC16A14",15.8544360584436,-7.91650354900461e-07,0.00144268491510639,0.783280632170378,0.999999992999996
"FBXO36",133.133671869654,-1.99157203742057e-05,0.00144269646839779,0.00464504326046413,0.999999992999996
"TRIP12",11195.4501234621,5.75346150822984e-06,0.00144195648935949,0.799069957870398,0.999999992999996
"DNER",197.425475813698,3.77980046035939e-07,0.00144261001318919,0.955368365223039,0.999999992999996
"PID1",23.9832419791102,5.09814740615564e-07,0.00144267815804289,0.887800354712428,0.999999992999996
"SPHKAP",7.67053077188669,-5.39100696906922e-08,0.0014426912246266,0.991803759999182,0.999999992999996
"DAW1",10.5562709794758,7.81890950774769e-07,0.00144268878942917,0.700959159260485,0.999999992999996
"CCL20",1.34190910872017,-5.94209947732024e-07,0.0014426942956788,0.412168787638348,0.999999992999996
"LOC128627384",3.26833306226942,1.41499794932443e-06,0.00144269395225088,0.177095602785555,0.999999992999996
"SLC19A3",234.962152494244,-7.85838106551513e-06,0.00144261425192642,0.333381562067201,0.999999992999996
"AGFG1",2462.00540493374,2.31919806776635e-05,0.00144190405697402,0.355381892547087,0.999999992999996
"TM4SF20",16.2279118776409,-2.16706939156444e-06,0.00144268612574374,0.409292746500786,0.999999992999996
"MFF",1966.26918556975,2.00636871718209e-05,0.00144217930903965,0.359560121850586,0.999999992999996
"LOC119044744",65.2154700951495,2.54288753340418e-06,0.00144266153979153,0.607550855927283,0.999999992999996
"COL4A3",43.7767409076831,1.83490010103987e-07,0.00144267314900994,0.951370363036535,0.999999992999996
"COL4A4",25.9710580638754,-3.05727704704704e-06,0.00144268135150586,0.35333494740967,0.999999992999996
"RHBDD1",439.525183735018,1.20140250880864e-07,0.00144244311928337,0.999673109807451,0.999999992999996
"LOC119044738",211.000921524606,-4.607319268496e-06,0.00144261327864673,0.560956414132327,0.999999992999996
"IRS1",11334.6898186321,1.24012178306513e-05,0.00144211170401487,0.552471519735825,0.999999992999996
"LOC119044736",2.36629361550563,3.31739547225671e-07,0.00144269363251695,0.758254300996668,0.999999992999996
"LOC119044754",0.233208385188907,-4.37954271283728e-08,0.00144269503037092,0.895590149896983,0.999999992999996
